ratio,method,n_evaluated,n_skipped,T_total,CNOT_total,Anc_total,wallclock_s
0.1,rule,255,0,9920,8850,5,0.126
0.1,lgb,255,0,6898,6132,4,0.250
0.1,gnn,255,0,8059,7382,7,0.402
0.15,rule,255,0,9472,8469,4,0.166
0.15,lgb,255,0,4930,4465,4,0.276
0.15,gnn,255,0,7884,7118,7,0.425
0.2,rule,255,0,9472,8448,4,0.290
0.2,lgb,255,0,4445,4083,2,0.305
0.2,gnn,255,0,7372,6694,4,0.441
0.3,rule,255,0,9072,8105,4,0.369
0.3,lgb,255,0,3863,3635,2,0.368
0.3,gnn,255,0,6976,6351,4,0.551
0.5,rule,255,0,3588,3439,1,1.038
0.5,lgb,255,0,3490,3354,1,0.595
0.5,gnn,255,0,3791,3664,2,0.949
