baseline,by_n,items,losses,mean_relative,median_relative,metric,target,ties,wins
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.6084092298997823,-0.6082973663348895,score,and_resource_nmcts,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.506794754183884,-0.5,T,and_resource_nmcts,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,14,-0.31948159257760034,-0.3082706766917293,CNOT,and_resource_nmcts,1,162
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,156,1.042179250417982,0.84,depth,and_resource_nmcts,5,16
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.8798271812867173,-0.9,peak_ancilla,and_resource_nmcts,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.62340375525499,-0.6235459004905397,score,and_pareto_resource_nmcts,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.5293733185406283,-0.5238095238095238,T,and_pareto_resource_nmcts,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,9,-0.35027364614554024,-0.3486238532110092,CNOT,and_pareto_resource_nmcts,1,167
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,156,0.9315798643803114,0.8163265306122449,depth,and_pareto_resource_nmcts,5,16
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.8764886737979461,-0.9,peak_ancilla,and_pareto_resource_nmcts,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.5895641002984693,-0.5957020165714502,score,and_fprm_polarity_archive,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.48482770352622256,-0.5,T,and_fprm_polarity_archive,1,176
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,13,-0.3062023930579627,-0.31722054380664655,CNOT,and_fprm_polarity_archive,1,163
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,165,1.0250726409650917,0.8947368421052632,depth,and_fprm_polarity_archive,1,11
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.8664135839625535,-0.8928571428571429,peak_ancilla,and_fprm_polarity_archive,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,53,-0.16737648805769206,-0.16775776084731736,score,and_direct_anf,0,124
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,104,0.13470921149264742,0.14,T,and_direct_anf,9,64
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,121,0.24955661454593747,0.2556390977443609,CNOT,and_direct_anf,4,52
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,170,2.5688179982704877,2.1578947368421053,depth,and_direct_anf,1,6
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.8709581394075083,-0.8888888888888888,peak_ancilla,and_direct_anf,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,131,0.3522645068071231,0.38018602834002013,score,direct_anf,0,46
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,152,0.9985240997458745,1.0754716981132075,T,direct_anf,6,19
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,94,0.05059891096749105,0.04560260586319218,CNOT,direct_anf,3,80
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,165,1.9421716875765966,1.6842105263157894,depth,direct_anf,1,11
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.9178102476830848,-0.92,peak_ancilla,direct_anf,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,27,-0.3940666948785336,-0.48203148203148205,score,and_esop_milp,0,150
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,36,-0.1967140585530983,-0.3333333333333333,T,and_esop_milp,11,130
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,49,-0.13726295661173019,-0.27472527472527475,CNOT,and_esop_milp,0,128
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,168,2.1699707310312393,1.105263157894737,depth,and_esop_milp,0,9
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.8651712480576232,-0.875,peak_ancilla,and_esop_milp,0,177
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,13,-0.32826203124159775,-0.3463369823164664,score,sshr_h,0,164
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,70,-0.04119208571339927,-0.05660377358490566,T,sshr_h,9,98
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,5,-0.42513477059639204,-0.4520547945205479,CNOT,sshr_h,1,171
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,161,1.0044903849960125,0.9387755102040817,depth,sshr_h,5,11
external_cirkit_aig_mc,3:3;4:69;5:67;6:38,177,0,-0.9154965538439672,-0.9166666666666666,peak_ancilla,sshr_h,0,177
