losses,mean_baseline,mean_relative_pct,mean_target,metric,pairs,ties,wins
0,3697.0,-0.3387985563123763,3674.1666666666665,T,24,12,12
0,6396.833333333333,-0.37669256066315,6358.833333333333,CNOT,24,11,13
0,6396.958333333333,-0.3766872990024486,6358.958333333333,depth,24,11,13
1,3.4166666666666665,0.0,3.4166666666666665,peak_ancilla,24,22,1
0,4080.3522916666666,-0.3433448308515762,4055.2514583333336,score,24,10,14
24,111.77096915245056,22.803945424480013,133.0679288903872,time_s,24,0,0
