baseline_CNOT,baseline_T,baseline_depth,baseline_peak_ancilla,baseline_score,baseline_time_s,name,relative_CNOT_pct,relative_T_pct,relative_depth_pct,relative_peak_ancilla_pct,relative_score_pct,relative_time_s_pct,target_CNOT,target_T,target_depth,target_peak_ancilla,target_score,target_time_s
102.0,52.0,102.0,1.0,60.11,0.8601322174072266,anf_n18_0,0.0,0.0,0.0,0.0,0.0,6467.519998550415,102.0,52.0,102.0,1.0,60.11,65.53533220291138
23028.0,14664.0,23028.0,5.0,16024.18,6.7530107498168945,anf_n18_1,-24.257425742574256,-31.914893617021278,-24.257425742574256,0.0,-31.222502493107303,4342.5778822193615,17442.0,9984.0,17442.0,5.0,11021.029999999999,300.00776195526123
8327.0,5220.0,8328.0,4.0,5717.08,3.011776924133301,anf_n18_10,-21.556382850966735,-26.436781609195403,-21.5537944284342,0.0,-25.96001805117299,9861.25800605875,6532.0,3840.0,6533.0,4.0,4232.924999999999,300.0108699798584
3308.0,2072.0,3308.0,3.0,2272.3,1.498784065246582,anf_n18_11,-19.226118500604596,-26.061776061776058,-19.226118500604596,0.0,-25.384852352242227,14018.322109024688,2672.0,1532.0,2672.0,3.0,1695.48,211.6031620502472
24560.0,15636.0,24560.0,5.0,17086.040000000005,6.91521692276001,anf_n18_2,-24.267100977198698,-31.92632386799693,-24.267100977198698,-20.0,-31.24656152039913,4238.523455066766,18600.0,10644.0,18600.0,4.0,11747.24,300.0183081626892
57070.0,36656.0,57070.0,6.0,40010.990000000005,14.178973913192749,anf_n18_3,-27.723847906080252,-33.293321693583586,-27.723847906080252,-16.666666666666664,-32.802662468486794,2016.0590383936676,41248.0,24452.0,41248.0,5.0,26886.32,300.03545904159546
6343.0,3976.0,6343.0,3.0,4354.535000000001,2.301009178161621,anf_n18_4,-21.3148352514583,-26.86116700201207,-21.3148352514583,0.0,-26.32749535828741,11930.04924189204,4991.0,2908.0,4991.0,3.0,3208.095,276.81253719329834
15490.0,9860.0,15490.0,4.0,10776.25,4.420573949813843,anf_n18_5,-24.06714009038089,-31.561866125760652,-24.06714009038089,0.0,-30.88087228859761,6686.093825161879,11762.0,6748.0,11762.0,4.0,7448.45,299.98429584503174
465.0,276.0,465.0,2.0,307.46500000000003,0.7709817886352539,anf_n18_6,-4.516129032258064,-13.043478260869565,-4.516129032258064,0.0,-12.094059486445612,8021.954345703125,444.0,240.0,444.0,2.0,270.28000000000003,80.9905252456665
41232.0,26484.0,41232.0,6.0,28911.239999999998,9.647300243377686,anf_n18_7,-27.72603802871556,-33.695816341942304,-27.72603802871556,-16.666666666666664,-33.16938325716918,3009.761821147888,29800.0,17560.0,29800.0,5.0,19321.56,300.0080597400665
3616.0,2264.0,3616.0,3.0,2482.3999999999996,1.5968937873840332,anf_n18_8,-19.745575221238937,-25.97173144876325,-19.745575221238937,0.0,-25.35409281340637,13325.825420604617,2902.0,1676.0,2902.0,3.0,1853.01,214.39617204666138
78.0,44.0,78.0,0.0,48.63,0.7226862907409668,anf_n18_9,-2.564102564102564,-18.181818181818183,15.384615384615385,100.0,-11.721159777914874,6401.739287376404,76.0,36.0,90.0,1.0,42.93,64.740079164505
