correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.005402008692423503,and_affine_nmcts,3,27,8
69,69,36.405797101449274,1.434782608695652,20.04840579710145,0.07001786301101463,and_affine_nmcts,4,2248,1044
67,67,90.6268656716418,1.9701492537313432,49.117014925373134,0.6096446300620464,and_affine_nmcts,5,5744,2676
38,38,234.1315789473684,2.6842105263157894,134.6475,0.13069689273834229,and_affine_nmcts,6,8683,4392
3,3,9.0,0.0,3.225,0.027591149012247723,and_pareto_resource_nmcts,3,27,8
69,69,35.971014492753625,1.4492753623188406,19.819565217391304,0.5300002650938173,and_pareto_resource_nmcts,4,2217,1028
67,67,87.40298507462687,2.029850746268657,47.96417910447761,4.295143878282006,and_pareto_resource_nmcts,5,5515,2604
38,38,193.02631578947367,2.973684210526316,111.29407894736842,5.414888714489184,and_pareto_resource_nmcts,6,7097,3576
3,3,9.0,0.0,3.225,0.0052140553792317705,and_resource_nmcts,3,27,8
69,69,36.31884057971015,1.434782608695652,20.041884057971014,0.07434500818667204,and_resource_nmcts,4,2240,1044
67,67,90.6268656716418,1.9701492537313432,49.117014925373134,0.624684451231316,and_resource_nmcts,5,5744,2676
38,38,232.28947368421052,2.736842105263158,133.93565789473683,0.2266660677759271,and_resource_nmcts,6,8536,4368
